name,score,gender,IP,IBDP,SAP,affiliated,,,
Punggol Secondary School,201,Co-Ed,,,,,,,
Regent Secondary School,201,Co-Ed,,,,,,,
Jurongville Secondary School,197,Co-Ed,,,,,,,
Westwood Secondary School,196,Co-Ed,,,,,,,
Greenridge Secondary School,195,Co-Ed,,,,,,,
Canberra Secondary School,193,Co-Ed,,,,,,,
New Town Secondary School,193,Co-Ed,,,,,,,
Juying Secondary School,192,Co-Ed,,,,,,,
Peicai Secondary School,189,Co-Ed,,,,,,,
Queenstown Secondary School,189,Co-Ed,,,,,,,
Assumption English School,188,Co-Ed,,,,,,,
Bartley Secondary School,188,Co-Ed,,,,,,,
Bedok Green Secondary School,188,Co-Ed,,,,,,,
Bendemeer Secondary School,188,Co-Ed,,,,,,,
Boon Lay Secondary School,188,Co-Ed,,,,,,,
Broadrick Secondary School,188,Co-Ed,,,,,,,
Bukit Merah Secondary School,188,Co-Ed,,,,,,,
Changkat Changi Secondary School,188,Co-Ed,,,,,,,
Damai Secondary School,188,Co-Ed,,,,,,,
Dunearn Secondary School,188,Co-Ed,,,,,,,
East Spring Secondary School,188,Co-Ed,,,,,,,
Fajar Secondary School,188,Co-Ed,,,,,,,
Fuchun Secondary School,188,Co-Ed,,,,,,,
Guangyang Secondary School,188,Co-Ed,,,,,,,
Junyuan Secondary School,188,Co-Ed,,,,,,,
Loyang Secondary School,188,Co-Ed,,,,,,,
Manjusri Secondary School,188,Co-Ed,,,,Affiliated,,,
Marsiling Secondary School,188,Co-Ed,,,,,,,
Northbrooks Secondary School,188,Co-Ed,,,,,,,
Northland Secondary School,188,Co-Ed,,,,,,,
Outram Secondary School,188,Co-Ed,,,,,,,
Ping Yi Secondary School,188,Co-Ed,,,,,,,
Sembawang Secondary School,188,Co-Ed,,,,,,,
Serangoon Garden Secondary School,188,Co-Ed,,,,,,,
Serangoon Secondary School,188,Co-Ed,,,,,,,
Springfield Secondary School,188,Co-Ed,,,,,,,
Tanglin Secondary School,188,Co-Ed,,,,,,,
Teck Whye Secondary School,188,Co-Ed,,,,,,,
Whitley Secondary School,188,Co-Ed,,,,,,,
Woodlands Secondary School,188,Co-Ed,,,,,,,
Yio Chu Kang Secondary School,188,Co-Ed,,,,,,,
Yuhua Secondary School,188,Co-Ed,,,,,,,
Yuying Secondary School,188,Co-Ed,,,,,,,
