name,brand,address,lat,lon
NTUC Fairprice,NTUC Fairprice,,1.3151914,103.8495849
Sheng Siong,,Clementi Avenue 2,1.3150492,103.7711263
NTUC FairPrice,NTUC Fairprice,Clementi Avenue 2,1.3144431,103.7711879
Giant,,Aljunied Avenue 2,1.3201477,103.8873042
NTUC FairPrice,,,1.3796884,103.9362379
Giant,,"70 Woodlands Ave 7, Admiralty MRT Station",1.4403979,103.8005616
Econ Minimart,,,1.3237921,103.9107829
NTUC FairPrice,,,1.3236799,103.9108467
NTUC FairPrice,NTUC FairPrice,Chinatown Point,1.2855811,103.8451805
Daiso,,,1.3114628,103.8568212
NTUC FairPrice,NTUC FairPrice,Kitchener Road,1.3115258,103.8563897
Cold Storage,Cold Storage,Thomson Road,1.320133,103.843935
Giant,,"Blk 768 Woodlands Ave 6, Woodlands Mart",1.4456477,103.7979298
PRIME,,,1.4401493,103.8016636
PRIME,,,1.4458917,103.7978443
NTUC FairPrice,,,1.4385636,103.7952187
NTUC FairPrice,,Woodlands Avenue 1,1.430908,103.7907695
,,,1.448068,103.801034
Giant,,"Blk 883 Woodlands St 82, Woodlands North Plaza",1.4425618,103.7904903
NTUC FairPrice,,,1.4325561,103.7744928
NTUC FairPrice,,,1.4289998,103.8350138
Cold Storage,,Yishun Avenue 2,1.4292976,103.8357691
Seven eleven,,,1.3234468,103.8173675
Sheng Siong,Sheng Siong,Clementi Avenue 1,1.310071,103.7687703
NTUC FairPrice,NTUC Fairprice,Bishan Street 24,1.3571301,103.8438701
NTUC FairPrice Xtra,NTUC Fairprice,,1.3331979,103.7428255
Nafisa Grocery Store,,Jurong West Street 91,1.3417884,103.6885444
Indian (Tamil) Grocery Store,,,1.3415839,103.6920953
Indian Grocery Store,,,1.3417003,103.6925857
NTUC Fairprice,NTUC Fairprice,Ah Hood Road,1.3269686,103.8464206
FairPrice Finest,,Marine Parade Road,1.3036947,103.9029454
Fairprice Xpress,NTUC Fairprice,,1.3082402,103.907885
Sheng Siong,Sheng Siong,Tanglin Halt Road,1.3014833,103.7985027
NTUC FairPrice,NTUC Fairprice,,1.2847507,103.8293553
Sheng Siong,,Woodlands Street 31,1.4315023,103.7737451
NTUC FairPrice,NTUC Fairprice,,1.3652321,103.8650384
NTUC FairPrice,NTUC Fairprice,,1.331762,103.8505926
Cold Storage,,Joo Chiat Road,1.3098863,103.902122
NTUC FairPrice,NTUC Fairprice,Choa Chu Kang Drive,1.3970146,103.7472724
Sheng Siong,,Teck Whye Lane,1.3783815,103.7538826
Prime,,,1.3807961,103.7518581
NTUC FairPrice,,,1.3800132,103.7532539
Prime,,,1.3778535,103.744165
NTUC Fairprice,NTUC Fairprice,French Road,1.3088289,103.8619207
Giant,,Blk 260 Kim Keat Avenue,1.3321583,103.8573011
Cold Storage,,Orchard Road,1.3075324,103.8289836
FairPrice Xtra @ Sports Hub,,,1.3041749,103.8728359
Bes Price Minimart,,Joo Chiat Road,1.312588,103.9000383
Gateway Minimart & Trading,,Joo Chiat Road,1.3146529,103.8985494
Al Barakah,,Joo Chiat Road,1.3151015,103.8982503
81 Wholesalers & Trading,,Joo Chiat Road,1.3142952,103.8988241
I-Tec,,,1.3095028,103.8574489
Koryo Mart,,Telok Ayer Street,1.2804239,103.8473639
Tanjong Hwaro,,Tanjong Pagar Road,1.2782263,103.8438656
Cold Storage,,Enggor Street,1.2746068,103.8443166
NTUC Fairprice,NTUC Fairprice,Dover Crescent,1.3049616,103.7814866
Giant,,Ghim Moh Road,1.3102679,103.7880372
NTUC FairPrice,NTUC Fairprice,Lorong 6 Toa Payoh,1.3328116,103.8472498
Sheng Siong,Sheng Siong,Ghim Moh Link,1.3080768,103.7858814
Cold Storage,,First Street,1.3128367,103.9235157
NTUC Fairprice,NTUC Fairprice,,1.3551916,103.9883413
NTUC Fairprice,NTUC Fairprice,Airport Boulevard,1.3561808,103.9863723
Cold Storage,,,1.319605,103.8271903
CS Fresh,,Upper Bukit Timah Road,1.3227092,103.8144067
NTUC FairPrice,,,1.3242903,103.9238735
Giant Express,,"Students Walk, NTU Canteen 2",1.3481032,103.6855222
Prime Supermarket,,,1.3468178,103.6809884
NTUC Pasar,,,1.3777363,103.7726306
Giant,,Blk 256 Bangkit Road,1.3786855,103.7728973
Sheng Siong,Sheng Siong,Segar Road,1.3879115,103.7699226
Cold Storage,,Clementi Road,1.3017518,103.7695285
NTUC Fairprice,NTUC Fairprice,Geylang Lorong 38,1.3142787,103.8887345
Cold Storage,,Clemenceau Avenue,1.2920393,103.8425504
NTUC Fairprice,NTUC Fairprice,Waterway Point,1.4069699,103.9016244
Indian Grocery Store,,,1.3437025,103.689662
Indian Grocery Store,,,1.3433926,103.6908111
Indian Grocery Store,,,1.3415355,103.6909282
Convenience Store,,,1.3415163,103.6909
TL98 International Provision Shop,,,1.4313522,103.8290218
FairPrice,,Ang Mo Kio Street 22,1.3665818,103.8415821
NTUC FairPrice,NTUC Fairprice,,1.3245854,103.9414492
Sheng Siong,Sheng Siong,Bukit Batok West Avenue 6,1.3529769,103.7437581
Sheng Siong,,Bukit Batok West Avenue 8,1.3555088,103.7392341
Sheng Siong,,Bedok North Street 3,1.3324563,103.9255968
NTUC Fairprice,NTUC Fairprice,,1.2731352,103.8090769
NTUC Fairprice,NTUC Fairprice,Jalan Tiga,1.3076622,103.8848527
Ellyza Frozen Food,,Woodlands Avenue 6,1.4405928,103.8018411
,,,1.3121463,103.7596285
Ang Mo Supermarket,,Lorong 4 Toa Payoh,1.3362868,103.8480895
NTUC Fairprice,NTUC Fairprice,,1.3244802,103.9288247
HAO Eccellente,,Tanjong Katong Road,1.3149206,103.8945139
Cold Storage,Cold Storage,Cove Avenue,1.2470189,103.8397133
Sheng Siong,Sheng Siong,Lorong 15 Geylang,1.312653,103.8786231
Tuas South Supermarket,,,1.2951161,103.6268595
NTUC Fairprice,NTUC Fairprice,Petir Road,1.3785209,103.7639776
Cold Storage,,"3 Temasek Boulevard, Suntec City",1.294999,103.8591405
Giant Express,Giant Hypermarket,Upper Bukit Timah Road,1.3421799,103.7761711
Sheng Siong,Sheng Siong,Chin Swee Road,1.2869661,103.8416702
Giant,,Jurong West Street 41,1.3497894,103.725451
Warehouse Club,,Joon Koon Circle,1.3272092,103.6786571
NTUC FairPrice,NTUC Fairprice,,1.315391,103.8985788
Giant,,Buangkok Crescent,1.3809089,103.8792312
Sheng Siong,,Circuit Road,1.3292654,103.88833
NTUC Fairprice,NTUC Fairprice,Senja Road,1.3850202,103.7604035
NTUC FairPrice,NTUC Fairprice,Ang Mo Kio Avenue 6,1.371469,103.8470492
NTUC Fairprice,NTUC Fairprice,,1.3602084,103.9534624
NTUC FairPrice,NTUC Fairprice,,1.3657245,103.7493073
NTUC FairPrice,,,1.348632,103.7492808
Cold Storage,,Bukit Batok Central Link,1.3501202,103.7494149
208e Geylang,,Geylang Road,1.3119052,103.8765016
Sheng Siong,Sheng Siong,Serangoon North Avenue 5,1.3757418,103.8718519
CS Fresh,,Hillview Rise,1.3636865,103.7643794
Giant,,"Blk 524A Jelapang Road, Greenridge Shopping Centre",1.3854121,103.7662073
German Market Place,,Bukit Timah Road,1.3243853,103.8094584
Eat Organic,,Bukit Timah Road,1.3245822,103.8091521
Fortune Supermarket,,Sembawang Drive,1.4556955,103.8145673
Sheng Siong,,Jalan Berseh,1.3079553,103.8572122
Mannai Supermarket,,Jalan Besar,1.3044903,103.8545898
Giant,,Blk 26 Jalan Membina,1.2826694,103.8257856
NTUC FairPrice,NTUC Fairprice,Havelock Road,1.2898277,103.8267592
NTUC FairPrice,NTUC Fairprice,Bedok North street 4,1.3321123,103.9382333
NTUC Fairprice,NTUC Fairprice,Tampines Avenue 4,1.3536024,103.9405041
NTUC Fairprice,NTUC Fairprice,Holland Drive,1.3091415,103.7928136
NTUC FairPrice,NTUC Fairprice,Yung Sheng Road,1.3345284,103.7201308
Telok Blangah Mall,,,1.2736798,103.8089509
Tampines Mart,,Tampines Street 32,1.3543718,103.9600249
Sheng Siong,Sheng Siong,Sumang Link,1.4110086,103.9003954
U Stars Supermarket,,Punggol Way,1.4054147,103.8968874
U Stars Megamart,,,1.403353,103.894994
Smart99,,,1.353655,103.6881014
NTUC Fairprice,NTUC Fairprice,Punggol Drive,1.4048623,103.9085261
Prime,,,1.3232119,103.9240875
Trading Store,,,1.3174181,103.6521903
NTUC FairPrice,NTUC Fairprice,Hougang Avenue 4,1.3744432,103.8856498
NTUC FairPrice,NTUC Fairprice,,1.3718302,103.8941221
NTUC Fairprice,NTUC Fairprice,,1.3863502,103.8931925
Sheng Siong,Sheng Siong,Woodlands Street 12,1.4336189,103.7799353
NTUC Fairprice,NTUC Fairprice,Woodlands Drive 71,1.4399794,103.8005133
Isetan,,,1.305645,103.831586
Shine Korea Supermarket,,,1.3018337,103.8525786
U Stars Supermarket,,Anchorvale Street,1.3964212,103.8890273
