rank,name,score,gender,ip,ibdp,sap,affiliated,programmes
98,Meridian Secondary School,210,Co-Ed,,,,,—
99,Woodgrove Secondary School,210,Co-Ed,,,,,—
100,Jurong West Secondary School,209,Co-Ed,,,,,—
101,Montfort Secondary School,208,Boys,,,,Affiliated,Affiliated
102,Tampines Secondary School,208,Co-Ed,,,,,—
103,Christ Church Secondary School,207,Co-Ed,,,,,—
104,Yishun Secondary School,207,Co-Ed,,,,,—
105,Seng Kang Secondary School,205,Co-Ed,,,,,—
106,Admiralty Secondary School,203,Co-Ed,,,,,—
107,Naval Base Secondary School,203,Co-Ed,,,,,—
108,Hougang Secondary School,202,Co-Ed,,,,,—
109,Punggol Secondary School,201,Co-Ed,,,,,—
110,Regent Secondary School,201,Co-Ed,,,,,—
111,Jurongville Secondary School,197,Co-Ed,,,,,—
112,Westwood Secondary School,196,Co-Ed,,,,,—
113,Greenridge Secondary School,195,Co-Ed,,,,,—
114,Canberra Secondary School,193,Co-Ed,,,,,—
115,New Town Secondary School,193,Co-Ed,,,,,—
116,Juying Secondary School,192,Co-Ed,,,,,—
117,Peicai Secondary School,189,Co-Ed,,,,,—
118,Queenstown Secondary School,189,Co-Ed,,,,,—
119,Assumption English School,188,Co-Ed,,,,,—
120,Bartley Secondary School,188,Co-Ed,,,,,—
121,Bedok Green Secondary School,188,Co-Ed,,,,,—
122,Bendemeer Secondary School,188,Co-Ed,,,,,—
123,Boon Lay Secondary School,188,Co-Ed,,,,,—
124,Broadrick Secondary School,188,Co-Ed,,,,,—
125,Bukit Merah Secondary School,188,Co-Ed,,,,,—
126,Changkat Changi Secondary School,188,Co-Ed,,,,,—
127,Damai Secondary School,188,Co-Ed,,,,,—
128,Dunearn Secondary School,188,Co-Ed,,,,,—
129,East Spring Secondary School,188,Co-Ed,,,,,—
130,Fajar Secondary School,188,Co-Ed,,,,,—
131,Fuchun Secondary School,188,Co-Ed,,,,,—
132,Guangyang Secondary School,188,Co-Ed,,,,,—
133,Junyuan Secondary School,188,Co-Ed,,,,,—
134,Loyang Secondary School,188,Co-Ed,,,,,—
135,Manjusri Secondary School,188,Co-Ed,,,,Affiliated,Affiliated
136,Marsiling Secondary School,188,Co-Ed,,,,,—
137,Northbrooks Secondary School,188,Co-Ed,,,,,—
138,Northland Secondary School,188,Co-Ed,,,,,—
139,Outram Secondary School,188,Co-Ed,,,,,—
140,Ping Yi Secondary School,188,Co-Ed,,,,,—
141,Sembawang Secondary School,188,Co-Ed,,,,,—
142,Serangoon Garden Secondary School,188,Co-Ed,,,,,—
143,Serangoon Secondary School,188,Co-Ed,,,,,—
144,Springfield Secondary School,188,Co-Ed,,,,,—
145,Tanglin Secondary School,188,Co-Ed,,,,,—
146,Teck Whye Secondary School,188,Co-Ed,,,,,—
147,Whitley Secondary School,188,Co-Ed,,,,,—
148,Woodlands Secondary School,188,Co-Ed,,,,,—
149,Yio Chu Kang Secondary School,188,Co-Ed,,,,,—
150,Yuhua Secondary School,188,Co-Ed,,,,,—
151,Yuying Secondary School,188,Co-Ed,,,,,—
