key,lat,lon
moe:109100,1.2764057,103.8088099
moe:128104,1.3128055,103.7569649
moe:128806,1.3196712,103.7617546
moe:129857,1.3162671,103.767763
moe:129903,1.3155915,103.7632256
moe:139648,1.3008445,103.7856652
moe:148812,1.2998136,103.7998399
moe:149303,1.2960266,103.8078385
moe:158901,1.3215861,103.8822589
moe:159016,1.2913462,103.8241492
moe:169485,1.2841556,103.8261194
moe:217567,1.3123692,103.8507914
moe:227988,1.3091048,103.8414097
moe:228197,1.2899175,103.8519072
moe:237993,1.2943029,103.8359305
moe:268097,1.3208317,103.8082166
moe:278790,1.3170569,103.7842163
moe:289072,1.2899175,103.8519072
moe:297754,1.3402824,103.8397216
moe:309331,1.3175131,103.8463182
moe:309437,1.3210713,103.8275742
moe:309918,1.3187524,103.8350769
moe:319252,1.3404647,103.8558843
moe:319320,1.3366992,103.8557113
moe:319580,1.3370337,103.8474423
moe:319765,1.3331268,103.842403
moe:327829,1.32182,103.8575227
moe:339948,1.3222744,103.8651292
moe:349700,1.3355312,103.8754848
moe:359337,1.3314877,103.8650956
moe:387621,1.3266176,103.8816581
moe:389706,1.2899175,103.8519072
moe:399772,1.3112077,103.8878417
moe:408931,1.3284777,103.9015345
moe:424821,1.3064379,103.9108392
moe:427072,1.3118785,103.9025669
moe:437259,1.3053243,103.9004551
moe:449149,1.3056542,103.9178867
moe:449761,1.2899175,103.8519072
moe:455789,1.318257,103.9182735
moe:458436,1.3196642,103.923766
moe:469300,1.2899175,103.8519072
moe:469317,1.3237085,103.9378554
moe:469623,1.3342045,103.9328103
moe:469680,1.3300987,103.9318824
moe:469701,1.3349316,103.9408662
moe:469719,1.3336412,103.9346185
moe:479226,1.3354514,103.9213901
moe:479239,1.3241459,103.9285409
moe:518798,1.3760316,103.9351592
moe:518866,1.2899175,103.8519072
moe:518935,1.3728079,103.9572279
moe:518968,1.3721528,103.9630263
moe:519075,1.365473,103.9612546
moe:519524,1.3775755,103.9392553
moe:528565,1.3636547,103.9389069
moe:528906,1.3477801,103.9393874
moe:529067,1.3577705,103.9354999
moe:529176,1.2899175,103.8519072
