name,address,lat,lon
Guardian Pharmacy (Novena Hospital),"38, IRRAWADDY ROAD, #01-08/09/10/11, SG(329563)",,
Guardian Pharmacy (Novena Square),"238, THOMSON ROAD, #01-31, NOVENA SQUARE, SG(307683)",,
Guardian Pharmacy (Oasis Terrace),"681, PUNGGOL DRIVE, #01-22/23/24/25, SG(820681)",,
Guardian Pharmacy (Our Tampines Hub),"1, TAMPINES WALK, #B1-29, OUR TAMPINES HUB, SG(528523)",,
Guardian Pharmacy (Paragon),"290, ORCHARD ROAD, #B1-20/24, THE PARAGON, SG(238859)",,
Guardian Pharmacy (Parkway Parade),"80, MARINE PARADE ROAD, #B1-147-149/155A, PARKWAY PARADE, SG(449269)",,
Guardian Pharmacy (Pasir Ris Mall),"7, PASIR RIS CENTRAL, #B1-29, SG(519612)",,
Guardian Pharmacy (Paya Lebar Quarter),"10, PAYA LEBAR ROAD, #B2-01 & 35, PLQ MALL, SG(409057)",,
Guardian Pharmacy (Plantation Plaza),"127, PLANTATION CRESCENT, #B1-16, PLANTATION PLAZA, SG(690127)",,
Guardian Pharmacy (Raffles City),"252, NORTH BRIDGE ROAD, #B1-01, RAFFLES CITY SHOPPING CENTRE, SG(179103)",,
Guardian Pharmacy (Raffles Place MRT 3),"5, RAFFLES PLACE, #B1-37-40/43-45, RAFFLES PLACE MRT STATION, SG(048618)",,
Guardian Pharmacy (Seletar Mall),"33, SENGKANG WEST AVENUE, #B1-10/11, THE SELETAR MALL, SG(797653)",,
Guardian Pharmacy (Serangoon Garden),"66, SERANGOON GARDEN WAY, #00-00, SERANGOON GARDEN ESTATE, SG(555962)",,
Guardian Pharmacy (Serangoon NEX),"23, SERANGOON CENTRAL, #B1-62/63, NEX, SG(556083)",,
Guardian Pharmacy (Star Vista),"1, VISTA EXCHANGE GREEN, #B1-16, THE STAR, SG(138617)",,
Guardian Pharmacy (Sun Plaza 2),"30, SEMBAWANG DRIVE, #B1-11, SUN PLAZA, SG(757713)",,
Guardian Pharmacy (Suntec Fountain),"3, TEMASEK BOULEVARD, #B1-154/155/156, SUNTEC CITY MALL, SG(038983)",,
Guardian Pharmacy (Takashimaya S. C. ),"391, ORCHARD ROAD, #B2-15-23, NGEE ANN CITY, SG(238872)",,
Guardian Pharmacy (Tampines MRT),"20, TAMPINES CENTRAL 1, #01-01, TAMPINES MRT STATION, SG(529538)",,
Guardian Pharmacy (Tampines Mall),"4, TAMPINES CENTRAL 5, #B1-18/19, TAMPINES MALL, SG(529510)",,
Guardian Pharmacy (Tanglin Mall),"163, TANGLIN ROAD, #01-121/122, TANGLIN MALL, SG(247933)",,
Guardian Pharmacy (Terminal 3 Transit Lounge North ),"65, AIRPORT BOULEVARD, #02-66, CHANGI AIRPORT TERMINAL 3, SG(819663)",,
Guardian Pharmacy (The Centrepoint),"176, ORCHARD ROAD, #B1-01/02/03/04, THE CENTREPOINT, SG(238843)",,
Guardian Pharmacy (The Woodleigh Mall),"11, BIDADARI PARK DRIVE, #B1-36, THE WOODLEIGH MALL, SG(367803)",,
Guardian Pharmacy (Thomson),"301, UPPER THOMSON ROAD, #03-28, THOMSON PLAZA, SG(574408)",,
Guardian Pharmacy (Tiong Bahru Plaza),"302, TIONG BAHRU ROAD, #B1-125, TIONG BAHRU PLAZA, SG(168732)",,
Guardian Pharmacy (Toa Payoh Blk 190),"190, LORONG 6 TOA PAYOH, #01-578, SG(310190)",,
Guardian Pharmacy (United Square 2),"101, THOMSON ROAD, #B1-28, UNITED SQUARE, SG(307591)",,
Guardian Pharmacy (Vivo),"1, HARBOURFRONT WALK, #02-79, VIVO CITY, SG(098585)",,
